"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",,"Model Number",EAN,,"Price (Inc VAT)","Sale Price (Inc VAT)",,"Stock Value","Pick Location",
79,2586,,"00014589","0001458911",,"Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Tan: AWL-709",,AWL-709,,,369.000,249.000,,"0",Z-35,
80,2587,,"00014601","0001460100",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,,,269.000,149.000,,"0",Z-35,
80,525,,"00014601","0001460101",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437080,,269.000,149.000,,"0",Z-35,
80,526,,"00014601","0001460102",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437097,,269.000,149.000,,"0",Z-35,
80,527,,"00014601","0001460103",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437103,,269.000,149.000,,4,Z-35,
80,528,,"00014601","0001460104",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437110,,269.000,149.000,,2,Z-35,
80,529,,"00014601","0001460105",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437127,,269.000,149.000,,2,Z-35,
80,530,,"00014601","0001460106",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437134,,269.000,149.000,,3,Z-35,
80,531,,"00014601","0001460107",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437141,,289.000,169.000,,3,Z-35,
80,532,,"00014601","0001460108",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437158,,309.000,189.000,,3,Z-35,
80,533,,"00014601","0001460109",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437165,,329.000,209.000,,2,Z-35,
80,2588,,"00014601","0001460110",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,5056798437172,,349.000,229.000,,"0",Z-35,
80,2589,,"00014601","0001460111",,"Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709","Ashwood Genuine Leather Coat with Detachable Hood Brown: AWL-709",,AWL-709,,,369.000,249.000,,"0",Z-35,
81,3023,,"00014147","0001414700",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,"0",Z-100,
81,537,,"00014147","0001414701",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,"0",Z-100,
81,538,,"00014147","0001414702",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,"0",Z-100,
81,539,,"00014147","0001414703",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,"0",Z-100,
81,540,,"00014147","0001414704",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,"0",Z-100,
81,541,,"00014147","0001414705",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,1,Z-100,
81,542,,"00014147","0001414706",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,225.000,149.000,,1,Z-100,
81,543,,"00014147","0001414707",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,245.000,169.000,,"0",Z-100,
81,544,,"00014147","0001414708",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,265.000,189.000,,"0",Z-100,
81,3024,,"00014147","0001414709",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,285.000,209.000,,"0",Z-100,
81,3025,,"00014147","0001414710",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,305.000,229.000,,"0",Z-100,
81,3026,,"00014147","0001414711",,"Leather Jacket Black/ddy: AWL-710","Leather Jacket Black/ddy: AWL-710",,AWL-710,,,325.000,249.000,,"0",Z-100,
92,2624,,"00010547","0001054700",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,"0",,
92,653,,"00010547","0001054701",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,4,,
92,654,,"00010547","0001054702",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,5,,
92,655,,"00010547","0001054703",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,"0",,
92,656,,"00010547","0001054704",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,3,,
92,657,,"00010547","0001054705",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,"0",,
92,658,,"00010547","0001054706",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,389.000,389.000,,"0",,
92,659,,"00010547","0001054707",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,409.000,409.000,,"0",,
92,660,,"00010547","0001054708",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,429.000,429.000,,1,,
92,661,,"00010547","0001054709",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,449.000,449.000,,2,,
92,2625,,"00010547","0001054710",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,469.000,469.000,,"0",,
92,2626,,"00010547","0001054711",,"Ashwood Leather Hooded Coat Black/ddy: ZB146","Ashwood Leather Hooded Coat Black/ddy: ZB146",,ZB146,,,489.000,489.000,,"0",,
93,2627,,"00010559","0001055900",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,"0",,
93,665,,"00010559","0001055901",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,3,,
93,666,,"00010559","0001055902",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,1,,
93,667,,"00010559","0001055903",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,1,,
93,668,,"00010559","0001055904",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,"0",,
93,669,,"00010559","0001055905",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,3,,
93,670,,"00010559","0001055906",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,389.000,389.000,,1,,
93,671,,"00010559","0001055907",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,409.000,409.000,,"0",,
93,672,,"00010559","0001055908",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,429.000,429.000,,"0",,
93,673,,"00010559","0001055909",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,449.000,449.000,,"0",,
93,2628,,"00010559","0001055910",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,469.000,469.000,,"0",,
93,2629,,"00010559","0001055911",,"Ashwood Leather Hooded Coat Brown/ddy: ZB146","Ashwood Leather Hooded Coat Brown/ddy: ZB146",,ZB146,,,489.000,489.000,,"0",,
94,2599,,"00007305","0000730500",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,"0",Z-76,
94,677,,"00007305","0000730501",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,1,Z-76,
94,678,,"00007305","0000730502",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,1,Z-76,
94,679,,"00007305","0000730503",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,3,Z-76,
94,680,,"00007305","0000730504",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,2,Z-76,
94,681,,"00007305","0000730505",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,3,Z-76,
94,682,,"00007305","0000730506",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,460.000,460.000,,1,Z-76,
94,683,,"00007305","0000730507",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,480.000,480.000,,"0",Z-76,
94,684,,"00007305","0000730508",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,500.000,500.000,,"0",Z-76,
94,685,,"00007305","0000730509",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,520.000,520.000,,"0",Z-76,
94,2600,,"00007305","0000730510",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,540.000,540.000,,"0",Z-76,
94,2601,,"00007305","0000730511",,"Sheepskin Coat Dark-Brown: KB 460","Sheepskin Coat Dark-Brown: KB 460",,"KB 460",,,560.000,560.000,,"0",Z-76,
95,2602,,"00007329","0000732900",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,"0",Z-76,
95,689,,"00007329","0000732901",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,2,Z-76,
95,690,,"00007329","0000732902",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,1,Z-76,
95,691,,"00007329","0000732903",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,"0",Z-76,
95,692,,"00007329","0000732904",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,"0",Z-76,
95,693,,"00007329","0000732905",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,"0",Z-76,
95,694,,"00007329","0000732906",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,460.000,460.000,,"0",Z-76,
95,695,,"00007329","0000732907",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,480.000,480.000,,"0",Z-76,
95,696,,"00007329","0000732908",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,500.000,500.000,,"0",Z-76,
95,697,,"00007329","0000732909",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,520.000,520.000,,"0",Z-76,
95,2603,,"00007329","0000732910",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,540.000,540.000,,"0",Z-76,
95,2604,,"00007329","0000732911",,"Sheepskin Coat Tobacco: KB 460","Sheepskin Coat Tobacco: KB 460",,"KB 460",,,560.000,560.000,,"0",Z-76,
96,2618,,"00008017","0000801700",,"Sheepskin Flying Jacket Tobacco: KE 007E","Sheepskin Flying Jacket Tobacco: KE 007E",,"KE 007E",,,549.000,495.000,,"0",Z-71,
96,2619,,"00008017","0000801701",,"Sheepskin Flying Jacket Tobacco: KE 007E","Sheepskin Flying Jacket Tobacco: KE 007E",,"KE 007E",,,549.000,495.000,,"0",Z-71,
96,702,,"00008017","0000801702",,"Sheepskin Flying Jacket Tobacco: KE 007E","Sheepskin Flying Jacket Tobacco: KE 007E",,"KE 007E",,,549.000,495.000,,1,Z-71,
96,703,,"00008017","0000801703",,"Sheepskin Flying Jacket Tobacco: KE 007E","Sheepskin Flying Jacket Tobacco: KE 007E",,"KE 007E",,,549.000,495.000,,1,Z-71,
96,704,,"00008017","0000801704",,"Sheepskin Flying Jacket Tobacco: KE 007E","Sheepskin Flying Jacket Tobacco: KE 007E",,"KE 007E",,,549.000,495.000,,"0",Z-71,
