"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Pick Location",,"Parent Product Images",
76,484,,"00014541","0001454108",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,485,,"00014541","0001454109",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,2544,,"00014541","0001454110",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
76,2545,,"00014541","0001454111",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1452880382-43484500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1728309978-56363500.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288479-79832100.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288480-88278000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288481-69932000.jpg
https://www.leathercompany.co.uk/images/products/zoom/1448288482-48517800.jpg",
77,2546,,"00014565","0001456500",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,489,,"00014565","0001456501",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,490,,"00014565","0001456502",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,491,,"00014565","0001456503",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,492,,"00014565","0001456504",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,493,,"00014565","0001456505",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,494,,"00014565","0001456506",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,495,,"00014565","0001456507",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,496,,"00014565","0001456508",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,497,,"00014565","0001456509",,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
