PLU,Style,Colour,Size,EAN,Pick Location,ImageURL,FashBCode
0000323902,501,BLACK,XS,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239029
0000323903,501,BLACK,S,5061042990426,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239036
0000323904,501,BLACK,M,5061042990433,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239043
0000323905,501,BLACK,L,5061042990440,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239050
0000323906,501,BLACK,XL,5061042990457,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239067
0000323907,501,BLACK,2XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239074
0000323908,501,BLACK,3XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239081
0000323909,501,BLACK,4XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239098
0000323910,501,BLACK,5XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239104
0000323911,501,BLACK,6XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239111
0000323912,501,BLACK,7XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239128
0000323913,501,BLACK,8XL,-,C-01D,https://www.leathercompany.co.uk/images/products/zoom/1741090879-12540100.jpg,9900003239135
0000323914,501,BLACK,9XL,-,,,9900003239142
0000325300,501,BROWN,XXXS,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253001
0000325301,501,BROWN,XXS,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253018
0000325302,501,BROWN,XS,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253025
0000325303,501,BROWN,S,5061042990464,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253032
0000325304,501,BROWN,M,5061042990471,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253049
0000325305,501,BROWN,L,5061042990488,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253056
0000325306,501,BROWN,XL,5061042990495,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253063
0000325307,501,BROWN,2XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253070
0000325308,501,BROWN,3XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253087
0000325309,501,BROWN,4XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253094
0000325310,501,BROWN,5XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253100
0000325311,501,BROWN,6XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253117
0000325312,501,BROWN,7XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253124
0000325313,501,BROWN,8XL,-,C-01D,https://www.leathercompany.co.uk/images/products/1612357665-93309100.jpg,9900003253131
0000325314,501,BROWN,9XL,-,,,9900003253148
0004384600,5055,BLACK,6,-,,,9900043846003
0004384601,5055,BLACK,8,5056798418652,H,https://www.leathercompany.co.uk/images/products/1653495977-62520500.jpg,9900043846010
0004384602,5055,BLACK,10,5061027917578,H,https://www.leathercompany.co.uk/images/products/1653495977-62520500.jpg,9900043846027
0004384603,5055,BLACK,12,5061027917585,H,https://www.leathercompany.co.uk/images/products/1653495977-62520500.jpg,9900043846034
0004384604,5055,BLACK,14,5061027917592,H,https://www.leathercompany.co.uk/images/products/1653495977-62520500.jpg,9900043846041
0004384605,5055,BLACK,16,5061027917608,H,https://www.leathercompany.co.uk/images/products/1653495977-62520500.jpg,9900043846058
0004384606,5055,BLACK,18,5061027917615,H,https://www.leathercompany.co.uk/images/products/1653495977-62520500.jpg,9900043846065
0004384607,5055,BLACK,20,5061027917622,,,9900043846072
0004384608,5055,BLACK,22,-,,,9900043846089
0004384609,5055,BLACK,24,-,,,9900043846096
0004384610,5055,BLACK,26,-,,,9900043846102
0004384611,5055,BLACK,28,-,,,9900043846119
0004383400,5055,BROWN,6,-,,,9900043834000
0004383401,5055,BROWN,8,5056798418669,H,https://www.leathercompany.co.uk/images/products/1653496305-81257200.jpg,9900043834017
0004383402,5055,BROWN,10,5061027917813,H,https://www.leathercompany.co.uk/images/products/1653496305-81257200.jpg,9900043834024
0004383403,5055,BROWN,12,5061027917820,H,https://www.leathercompany.co.uk/images/products/1653496305-81257200.jpg,9900043834031
0004383404,5055,BROWN,14,5061027917837,H,https://www.leathercompany.co.uk/images/products/1653496305-81257200.jpg,9900043834048
0004383405,5055,BROWN,16,5061027917844,H,https://www.leathercompany.co.uk/images/products/1653496305-81257200.jpg,9900043834055
0004383406,5055,BROWN,18,5061027917851,H,https://www.leathercompany.co.uk/images/products/1653496305-81257200.jpg,9900043834062
0004383407,5055,BROWN,20,5061027917868,,,9900043834079
0004383408,5055,BROWN,22,-,,,9900043834086
0004383409,5055,BROWN,24,-,,,9900043834093
0004383410,5055,BROWN,26,-,,,9900043834109
0004383411,5055,BROWN,28,-,,,9900043834116
0004381000,5055,GRAY,6,-,,,9900043810004
0004381001,5055,GRAY,8,5056798418676,H,https://www.leathercompany.co.uk/images/products/1653497133-26878700.jpg,9900043810011
0004381002,5055,GRAY,10,5061027917752,H,https://www.leathercompany.co.uk/images/products/1653497133-26878700.jpg,9900043810028
0004381003,5055,GRAY,12,5061027917769,H,https://www.leathercompany.co.uk/images/products/1653497133-26878700.jpg,9900043810035
0004381004,5055,GRAY,14,5061027917776,H,https://www.leathercompany.co.uk/images/products/1653497133-26878700.jpg,9900043810042
0004381005,5055,GRAY,16,5061027917783,H,https://www.leathercompany.co.uk/images/products/1653497133-26878700.jpg,9900043810059
0004381006,5055,GRAY,18,5061027917790,H,https://www.leathercompany.co.uk/images/products/1653497133-26878700.jpg,9900043810066
0004381007,5055,GRAY,20,5061027917806,,,9900043810073
0004381008,5055,GRAY,22,-,,,9900043810080
0004381009,5055,GRAY,24,-,,,9900043810097
0004381010,5055,GRAY,26,-,,,9900043810103
0004381011,5055,GRAY,28,-,,,9900043810110
0004379800,5055,TOPO,6,-,,,9900043798005
0004379801,5055,TOPO,8,5056798418683,H,https://www.leathercompany.co.uk/images/products/1653497297-49431900.jpg,9900043798012
0004379802,5055,TOPO,10,5061027917639,H,https://www.leathercompany.co.uk/images/products/1653497297-49431900.jpg,9900043798029
0004379803,5055,TOPO,12,5061027917646,H,https://www.leathercompany.co.uk/images/products/1653497297-49431900.jpg,9900043798036
0004379804,5055,TOPO,14,5061027917653,H,https://www.leathercompany.co.uk/images/products/1653497297-49431900.jpg,9900043798043
0004379805,5055,TOPO,16,5061027917660,H,https://www.leathercompany.co.uk/images/products/1653497297-49431900.jpg,9900043798050
0004379806,5055,TOPO,18,5061027917677,H,https://www.leathercompany.co.uk/images/products/1653497297-49431900.jpg,9900043798067
0004379807,5055,TOPO,20,5061027917684,,,9900043798074
0004379808,5055,TOPO,22,-,,,9900043798081
0004379809,5055,TOPO,24,-,,,9900043798098
0004379810,5055,TOPO,26,-,,,9900043798104
0004379811,5055,TOPO,28,-,,,9900043798111
0004382200,5055,WHISKY,6,-,,,9900043822007
0004382201,5055,WHISKY,8,5056798418690,H,https://www.leathercompany.co.uk/images/products/1653497495-91768200.jpg,9900043822014
0004382202,5055,WHISKY,10,5061027917691,H,https://www.leathercompany.co.uk/images/products/1653497495-91768200.jpg,9900043822021
0004382203,5055,WHISKY,12,5061027917707,H,https://www.leathercompany.co.uk/images/products/1653497495-91768200.jpg,9900043822038
0004382204,5055,WHISKY,14,5061027917714,H,https://www.leathercompany.co.uk/images/products/1653497495-91768200.jpg,9900043822045
0004382205,5055,WHISKY,16,5061027917721,H,https://www.leathercompany.co.uk/images/products/1653497495-91768200.jpg,9900043822052
0004382206,5055,WHISKY,18,5061027917738,H,https://www.leathercompany.co.uk/images/products/1653497495-91768200.jpg,9900043822069
0004382207,5055,WHISKY,20,5061027917745,,,9900043822076
0004382208,5055,WHISKY,22,-,,,9900043822083
0004382209,5055,WHISKY,24,-,,,9900043822090
0004382210,5055,WHISKY,26,-,,,9900043822106
0004382211,5055,WHISKY,28,-,,,9900043822113
0000583200,517 DUFFLE,BROWN/ANT,XXXS,-,,,9900005832006
0000583201,517 DUFFLE,BROWN/ANT,XXS,-,,,9900005832013
0000583202,517 DUFFLE,BROWN/ANT,XS,-,,,9900005832020
0000583203,517 DUFFLE,BROWN/ANT,S,-,,,9900005832037
0000583204,517 DUFFLE,BROWN/ANT,M,-,,,9900005832044
0000583205,517 DUFFLE,BROWN/ANT,L,-,,,9900005832051
0000583206,517 DUFFLE,BROWN/ANT,XL,-,,,9900005832068
0000583207,517 DUFFLE,BROWN/ANT,2XL,-,,,9900005832075
0000583208,517 DUFFLE,BROWN/ANT,3XL,-,,,9900005832082
0000583209,517 DUFFLE,BROWN/ANT,4XL,-,,,9900005832099
0000583210,517 DUFFLE,BROWN/ANT,5XL,-,,,9900005832105
0000583211,517 DUFFLE,BROWN/ANT,6XL,-,,,9900005832112
0000583212,517 DUFFLE,BROWN/ANT,7XL,-,,,9900005832129
0000583213,517 DUFFLE,BROWN/ANT,8XL,-,,,9900005832136
0000583214,517 DUFFLE,BROWN/ANT,9XL,-,,,9900005832143
0002390500,52188,BLACK/VT,,-,,https://www.leathercompany.co.uk/images/products/zoom/1704734186-52037600.jpg,9900023905003
