Brand,Style,Colour,Size,Description,PLU,EAN,SKU,Comm Code,
ASHWOOD,025 HAT,BRN/WHITE,6XL,STUD FASTEN HAT S /SKIN,0001329611,,,,
ASHWOOD,025 HAT,BRN/WHITE,7XL,STUD FASTEN HAT S /SKIN,0001329612,,,,
ASHWOOD,025 HAT,BRN/WHITE,8XL,STUD FASTEN HAT S /SKIN,0001329613,,,,
ASHWOOD,025 HAT,BRN/WHITE,9XL,STUD FASTEN HAT S /SKIN,0001329614,,,,
ASHWOOD,025 HAT,BROWN,XXXS,STUD FASTEN HAT S /SKIN,0000918500,,,,
ASHWOOD,025 HAT,BROWN,XXS,STUD FASTEN HAT S /SKIN,0000918501,,,,
ASHWOOD,025 HAT,BROWN,XS,STUD FASTEN HAT S /SKIN,0000918502,,,,
ASHWOOD,025 HAT,BROWN,S,STUD FASTEN HAT S /SKIN,0000918503,,,,
ASHWOOD,025 HAT,BROWN,M,STUD FASTEN HAT S /SKIN,0000918504,,,,
ASHWOOD,025 HAT,BROWN,L,STUD FASTEN HAT S /SKIN,0000918505,,,,
ASHWOOD,025 HAT,BROWN,XL,STUD FASTEN HAT S /SKIN,0000918506,,,,
ASHWOOD,025 HAT,BROWN,2XL,STUD FASTEN HAT S /SKIN,0000918507,,,,
ASHWOOD,025 HAT,BROWN,3XL,STUD FASTEN HAT S /SKIN,0000918508,,,,
ASHWOOD,025 HAT,BROWN,4XL,STUD FASTEN HAT S /SKIN,0000918509,,,,
ASHWOOD,025 HAT,BROWN,5XL,STUD FASTEN HAT S /SKIN,0000918510,,,,
ASHWOOD,025 HAT,BROWN,6XL,STUD FASTEN HAT S /SKIN,0000918511,,,,
ASHWOOD,025 HAT,BROWN,7XL,STUD FASTEN HAT S /SKIN,0000918512,,,,
ASHWOOD,025 HAT,BROWN,8XL,STUD FASTEN HAT S /SKIN,0000918513,,,,
ASHWOOD,025 HAT,BROWN,9XL,STUD FASTEN HAT S /SKIN,0000918514,,,,
ASHWOOD,025 HAT,BROWN/NAP,XXXS,STUD FASTEN HAT S /SKIN,0001331000,,,,
ASHWOOD,025 HAT,BROWN/NAP,XXS,STUD FASTEN HAT S /SKIN,0001331001,,,,
ASHWOOD,025 HAT,BROWN/NAP,XS,STUD FASTEN HAT S /SKIN,0001331002,,,,
ASHWOOD,025 HAT,BROWN/NAP,S,STUD FASTEN HAT S /SKIN,0001331003,,,,
ASHWOOD,025 HAT,BROWN/NAP,M,STUD FASTEN HAT S /SKIN,0001331004,,,,
ASHWOOD,025 HAT,BROWN/NAP,L,STUD FASTEN HAT S /SKIN,0001331005,,,,
ASHWOOD,025 HAT,BROWN/NAP,XL,STUD FASTEN HAT S /SKIN,0001331006,,,,
ASHWOOD,025 HAT,BROWN/NAP,2XL,STUD FASTEN HAT S /SKIN,0001331007,,,,
ASHWOOD,025 HAT,BROWN/NAP,3XL,STUD FASTEN HAT S /SKIN,0001331008,,,,
ASHWOOD,025 HAT,BROWN/NAP,4XL,STUD FASTEN HAT S /SKIN,0001331009,,,,
ASHWOOD,025 HAT,BROWN/NAP,5XL,STUD FASTEN HAT S /SKIN,0001331010,,,,
ASHWOOD,025 HAT,BROWN/NAP,6XL,STUD FASTEN HAT S /SKIN,0001331011,,,,
ASHWOOD,025 HAT,BROWN/NAP,7XL,STUD FASTEN HAT S /SKIN,0001331012,,,,
ASHWOOD,025 HAT,BROWN/NAP,8XL,STUD FASTEN HAT S /SKIN,0001331013,,,,
ASHWOOD,025 HAT,BROWN/NAP,9XL,STUD FASTEN HAT S /SKIN,0001331014,,,,
ASHWOOD,026 HAT,BLACK,XXXS,LACE FASTEN S/SKIN HAT,0000919900,,,,
