Product List Export Only,,,,,,,,,,,,,Date Range 01/07/2007 to 03/07/2026,,,,
Brand,Style,Colour,Size,Description,VAT Rate,Cost,Retail,Season,Supplier,Category,Department,CommCode,,Barcode,SKU,PLU,FashBCode
ASHWOOD,010B-S,BLACK,7XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573012,9900035730129
ASHWOOD,010B-S,BLACK,8XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573013,9900035730136
ASHWOOD,010B-S,BLACK,9XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003573014,9900035730143
ASHWOOD,010B-S,BROWN,XXXS,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574500,9900035745000
ASHWOOD,010B-S,BROWN,XXS,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574501,9900035745017
ASHWOOD,010B-S,BROWN,XS,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574502,9900035745024
ASHWOOD,010B-S,BROWN,S,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574503,9900035745031
ASHWOOD,010B-S,BROWN,M,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574504,9900035745048
ASHWOOD,010B-S,BROWN,L,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574505,9900035745055
ASHWOOD,010B-S,BROWN,XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574506,9900035745062
ASHWOOD,010B-S,BROWN,2XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574507,9900035745079
ASHWOOD,010B-S,BROWN,3XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574508,9900035745086
ASHWOOD,010B-S,BROWN,4XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574509,9900035745093
ASHWOOD,010B-S,BROWN,5XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574510,9900035745109
ASHWOOD,010B-S,BROWN,6XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574511,9900035745116
ASHWOOD,010B-S,BROWN,7XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574512,9900035745123
ASHWOOD,010B-S,BROWN,8XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574513,9900035745130
ASHWOOD,010B-S,BROWN,9XL,baseball s/skin cap,20.00,0.00,99.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0003574514,9900035745147
ASHWOOD,018S,BLACK/BRISSA,XXXS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077300,9900040773005
ASHWOOD,018S,BLACK/BRISSA,XXS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077301,9900040773012
ASHWOOD,018S,BLACK/BRISSA,XS,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077302,9900040773029
ASHWOOD,018S,BLACK/BRISSA,S,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077303,9900040773036
ASHWOOD,018S,BLACK/BRISSA,M,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077304,9900040773043
ASHWOOD,018S,BLACK/BRISSA,L,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077305,9900040773050
ASHWOOD,018S,BLACK/BRISSA,XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077306,9900040773067
ASHWOOD,018S,BLACK/BRISSA,2XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077307,9900040773074
ASHWOOD,018S,BLACK/BRISSA,3XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077308,9900040773081
ASHWOOD,018S,BLACK/BRISSA,4XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077309,9900040773098
ASHWOOD,018S,BLACK/BRISSA,5XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077310,9900040773104
ASHWOOD,018S,BLACK/BRISSA,6XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077311,9900040773111
ASHWOOD,018S,BLACK/BRISSA,7XL,s/skin hat,20.00,0.00,94.99,NO SEASON,FONZ LEATHER STYLES,HATS,S SKIN,,,,,0004077312,9900040773128
