"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Product Subtitle",,"Attribute 1 (Size)",,"Model Number",EAN,,"Pick Location",,"Parent Product Images",,"Meta Keywords",
77,2546,,"00014565","0001456500",,"Mid Brown",,6,,AWL-672,,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,489,,"00014565","0001456501",,"Mid Brown",,8,,AWL-672,,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,490,,"00014565","0001456502",,"Mid Brown",,10,,AWL-672,5056798419697,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,491,,"00014565","0001456503",,"Mid Brown",,12,,AWL-672,5056798419703,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,492,,"00014565","0001456504",,"Mid Brown",,14,,AWL-672,5056798419710,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,493,,"00014565","0001456505",,"Mid Brown",,16,,AWL-672,5056798419727,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,494,,"00014565","0001456506",,"Mid Brown",,18,,AWL-672,5056798419734,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,495,,"00014565","0001456507",,"Mid Brown",,20,,AWL-672,5056798419741,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,496,,"00014565","0001456508",,"Mid Brown",,22,,AWL-672,,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
77,497,,"00014565","0001456509",,"Mid Brown",,24,,AWL-672,,,Z-100,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",,"Womens Leather Jacket,Brown Leather Jacket,Women Brown Leather Jacket,Ladies Leather Jacket,Ladies Brown Leather Jacket,Womens Leather Jackets, girl leather jackets,leather for women,leather jackets women,womens leather,uk, online,style,fashion,cool",
