"VS Parent ID","VS Child ID",,"Parent Reference","Child Reference",,"Parent Product Title","Child Product Title",,"Model Number",EAN,,"Price (Inc VAT)","Sale Price (Inc VAT)",,"Stock Value",,"Parent Product Images",
77,490,,"00014565","0001456502",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419697,,249.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,491,,"00014565","0001456503",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419703,,249.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,492,,"00014565","0001456504",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419710,,249.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,493,,"00014565","0001456505",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419727,,249.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,494,,"00014565","0001456506",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419734,,249.000,119.000,,16,,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,495,,"00014565","0001456507",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,5056798419741,,269.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,496,,"00014565","0001456508",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,289.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,497,,"00014565","0001456509",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,309.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,2547,,"00014565","0001456510",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,329.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
77,2548,,"00014565","0001456511",,"Leather Jacket Mid Brown: AWL-672","Leather Jacket Mid Brown: AWL-672",,AWL-672,,,349.000,119.000,,"0",,"https://www.leathercompany.co.uk/images/products/zoom/1730735795-08197200.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735798-45395900.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735801-75773300.jpg
https://www.leathercompany.co.uk/images/products/zoom/1730735805-31352700.jpg",
